date,fav_sum,fav_mean,net_probability_support,polls,running_pos_avg,geom_avg
2011-02-01,1.01043041254,0.505215206268,0.010430412536,41.5,0.505215206268,0.505215206268
2011-02-02,0.874327388669,0.437163694335,-0.125672611331,41.5,0.471189450301,0.563467495902
2011-02-08,0.406942717932,0.406942717932,-0.093057282068,42.0,0.449773872845,0.572368664434
2011-02-09,0.340518068668,0.340518068668,-0.159481931332,42.7,0.422459921801,0.522403442358
2011-02-14,0.399586187055,0.399586187055,-0.100413812945,42.0,0.417885174852,0.577462900917
2011-02-18,0.319577912517,0.319577912517,-0.180422087483,41.7,0.380757716101,0.514264023618
2011-02-25,0.405907799508,0.405907799508,-0.094092200492,42.8,0.374506537136,0.590214781242
2011-02-28,0.28080997146,0.28080997146,-0.21919002854,42.8,0.349279987842,0.484510097754
2011-03-01,0.402101694549,0.201050847275,-0.597898305451,42.8,0.321386543563,0.383142969927
2011-03-02,0.321759511924,0.321759511924,-0.178240488076,42.4,0.305821208537,0.476232364976
2011-03-05,0.267113601384,0.267113601384,-0.232886398616,42.4,0.29532834631,0.439602930194
2011-03-06,0.86464810208,0.43232405104,-0.13535189792,42.4,0.300611596616,0.598087050099
2011-03-08,0.481079061194,0.481079061194,-0.018920938806,42.4,0.340665414563,0.685795685421
2011-03-09,0.673378825088,0.673378825088,0.173378825088,42.4,0.435131010126,0.907653301725
2011-03-14,0.255731088729,0.255731088729,-0.244268911271,42.4,0.421925325487,0.553420153332
2011-03-15,0.326848834918,0.326848834918,-0.173151165082,42.4,0.433872372194,0.551039138761
2011-03-17,0.420458600271,0.420458600271,-0.079541399729,42.6,0.43149928204,0.634632822001
2011-03-20,0.646899780944,0.323449890472,-0.353100219056,42.6,0.399973447896,0.555386432318
2011-03-21,0.685659774498,0.685659774498,0.185659774498,42.6,0.402429637778,0.900597349409
2011-03-28,0.426280196529,0.426280196529,-0.073719803471,42.6,0.436539459338,0.72503544789
2011-03-30,0.396714178183,0.396714178183,-0.103285821817,42.6,0.450512527991,0.667500928544
2011-04-03,0.244170487505,0.244170487505,-0.255829512495,42.6,0.415254905437,0.499500953574
2011-04-04,1.0577238783,0.52886193915,0.0577238783,42.6,0.456337315173,0.739937167776
2011-04-09,0.450814127766,0.450814127766,-0.049185872234,42.6,0.409368185827,0.713282206431
2011-04-10,0.469139058455,0.469139058455,-0.030860941545,42.6,0.417939958212,0.732799722924
2011-04-11,0.54659270027,0.273296350135,-0.45340729973,42.6,0.393256392602,0.543877692076
2011-04-12,2.56006910146,0.426678183577,-0.439930898539,42.2,0.429757931817,0.65231270892
2011-04-13,0.868156048052,0.434078024026,-0.131843951948,42.2,0.410801148792,0.679041445621
2011-04-14,0.547128229784,0.547128229784,0.047128229784,42.0,0.430063969195,0.800790801194
2011-04-15,1.57902162355,0.394755405887,-0.420978376453,42.9,0.415187238682,0.680870295855
2011-04-16,0.558814721388,0.558814721388,0.058814721388,42.9,0.472290912932,0.821879768038
2011-04-17,0.269312114711,0.269312114711,-0.230687885289,42.9,0.440817699159,0.565204728899
2011-04-21,0.265929731797,0.265929731797,-0.234070268203,43.7,0.407188040713,0.503913334206
2011-04-28,0.395780935865,0.395780935865,-0.104219064135,43.7,0.37691858193,0.609025148209
2011-04-30,0.348656628737,0.348656628737,-0.151343371263,43.7,0.3676988265,0.581331347134
2011-05-02,0.493592591855,0.493592591855,-0.006407408145,43.7,0.354654400593,0.721016050034
2011-05-03,0.385629074632,0.385629074632,-0.114370925368,43.7,0.377917792577,0.646942845734
2011-05-05,0.241214846096,0.120607423048,-0.758785153904,42.6,0.348853330827,0.369616607758
2011-05-07,0.355028568323,0.355028568323,-0.144971431677,42.6,0.340702857319,0.533879794697
2011-05-09,0.425175549445,0.425175549445,-0.074824450555,42.6,0.356006641461,0.631541397958
2011-05-10,0.233986247294,0.233986247294,-0.266013752706,42.6,0.304085372548,0.466566353964
2011-05-12,0.558727231612,0.279363615806,-0.441272768388,42.4,0.282832280783,0.475564339332
2011-05-13,2.52179375083,0.360256250118,-0.978206249173,42.4,0.330762046197,0.552726358017
2011-05-14,0.120542256742,0.120542256742,-0.379457743258,42.4,0.283864783881,0.330117183211
2011-05-15,2.27077245742,0.378462076237,-0.729227542576,42.4,0.274522089239,0.53482451881
2011-05-16,0.0719767799602,0.0719767799602,-0.42802322004,42.1,0.242120195773,0.269558030304
2011-05-17,0.881029240148,0.440514620074,-0.118970759852,42.1,0.274350396626,0.577104462829
2011-05-18,0.722860853229,0.240953617743,-0.777139146771,42.1,0.250489870151,0.443400844602
2011-05-21,0.963263535924,0.481631767962,-0.036736464076,42.1,0.322707772395,0.660491444054
2011-05-22,1.2312108477,0.410403615899,-0.268789152303,42.1,0.329096080328,0.640920589171
2011-05-23,3.8669743006,0.38669743006,-1.1330256994,42.1,0.392040210348,0.621887071158
2011-05-24,1.14400613475,0.286001533689,-0.855993865246,42.1,0.361137593071,0.5198269589
2011-05-25,0.282445082547,0.282445082547,-0.217554917453,42.1,0.369435886031,0.491908138354
2011-05-27,1.12339683127,0.374465610423,-0.37660316873,42.1,0.348002654524,0.572950476285
2011-05-28,2.10782569174,0.421565138348,-0.392174308262,42.1,0.350234959013,0.637393303798
2011-05-29,0.681169242508,0.340584621254,-0.318830757492,42.1,0.341012397252,0.575052554357
2011-05-30,0.231869818021,0.231869818021,-0.268130181979,42.1,0.330186054119,0.454896836718
2011-06-01,0.643642272737,0.643642272737,0.143642272737,42.1,0.402425492157,0.835610468169
