date,fav_sum,fav_mean,net_probability_subjective,polls,running_pos_avg,geom_avg
2011-02-01,3.70148185331,0.185074092666,-6.29851814669,47.5,0.185074092666,0.185074092666
2011-02-02,2.18365691054,0.242628545615,-2.31634308946,47.5,0.21385131914,0.288897068782
2011-02-03,2.62051304802,0.218376087335,-3.37948695198,47.5,0.215359575205,0.299597011813
2011-02-04,2.44616001073,0.222378182794,-3.05383998927,47.5,0.217114227102,0.31549806271
2011-02-05,1.42766043636,0.23794340606,-1.57233956364,47.5,0.221280062894,0.34036920927
2011-02-06,1.31201416042,0.0937152971727,-5.68798583958,47.5,0.203008303795,0.206404429966
2011-02-07,0.893274884516,0.111659360565,-3.10672511548,46.4,0.176814466785,0.194676725127
2011-02-08,0.4761715306,0.0432883209636,-5.0238284694,46.4,0.141796913511,0.119291950188
2011-02-09,0.966126091343,0.0743173916418,-5.53387390866,46.7,0.112184755281,0.129630772771
2011-02-10,2.52024357839,0.315030447298,-1.47975642161,46.7,0.127602163528,0.368553081325
2011-02-11,2.66137556834,0.221781297361,-3.33862443166,47.3,0.153215363566,0.333553965804
2011-02-12,0.260971032185,0.0652427580461,-1.73902896782,47.3,0.143932043062,0.179019508829
2011-02-13,1.51360385444,0.151360385444,-3.48639614556,47.3,0.165546455958,0.229667206514
2011-02-14,2.47763552089,0.190587347761,-4.02236447911,47.3,0.188800447182,0.276102350366
2011-02-15,5.4599353928,0.202219829363,-8.0400646072,47.3,0.166238323595,0.299756367841
2011-02-16,1.75885804814,0.159896186195,-3.74114195186,47.0,0.153861301362,0.265757457947
2011-02-17,0.513890867979,0.0734129811399,-2.98610913202,47.0,0.15549534598,0.173108062592
2011-02-18,1.54863128308,0.154863128308,-3.45136871692,47.0,0.156195894553,0.231032394074
2011-02-19,1.0859837223,0.120664858034,-3.4140162777,47.0,0.142211396608,0.206907780538
2011-02-20,0.249996511233,0.0833321704112,-1.25000348877,47.0,0.118433864818,0.164454323499
2011-02-21,1.59501519004,0.39875379751,-0.404984809961,47.0,0.166205387081,0.468361415976
2011-02-22,0.447287539958,0.111821884989,-1.55271246004,47.0,0.173887167851,0.254938537517
2011-02-23,0.291523770014,0.0485872950023,-2.70847622999,47.3,0.152632001189,0.151944380765
2011-02-24,1.21655269267,0.101379391056,-4.78344730733,47.3,0.148774907794,0.174780372485
2011-02-25,1.29485680256,0.0996043694275,-5.20514319744,47.3,0.152029347597,0.172492250508
2011-02-26,0.253955701763,0.0317444627204,-3.74604429824,47.3,0.0786274806392,0.102394231636
2011-02-27,0.634488769711,0.0793110962138,-3.36551123029,47.3,0.072125322884,0.131290777291
2011-02-28,0.399785819968,0.133261939989,-1.10021418003,47.3,0.0890602518814,0.188336429353
2011-03-01,1.82153588869,0.227691986086,-2.17846411131,47.3,0.114322770887,0.296362749332
2011-03-02,1.92272967555,0.240341209444,-2.07727032445,47.6,0.142470138891,0.33816397716
2011-03-03,1.493713132,0.124476094333,-4.506286868,47.6,0.161016465213,0.238796578269
2011-03-04,1.2709789369,0.105914911408,-4.7290210631,47.6,0.166337228252,0.20024273824
2011-03-05,0.173424564298,0.0247749377568,-3.3265754357,47.6,0.144639827806,0.107225262587
2011-03-06,0.0384946174337,0.00769892348673,-2.46150538257,47.6,0.100641215286,0.0644224250875
2011-03-07,1.76014592472,0.220018240589,-2.23985407528,47.6,0.0965766215149,0.260470681045
2011-03-08,0.821757418436,0.0747052198578,-4.67824258156,47.6,0.0866224466199,0.159440814772
2011-03-09,0.305254811097,0.0610509622195,-2.1947451889,47.6,0.0776496567821,0.127531378653
2011-03-10,0.305549583473,0.0436499404962,-3.19445041653,47.6,0.0814246573299,0.100065743666
