date,fav_sum,fav_mean,net_probability_support,polls,running_pos_avg,geom_avg
2011-02-01,7.96210286573,0.398105143286,-2.03789713427,47.5,0.398105143286,0.398105143286
2011-02-02,3.18063295072,0.353403661191,-1.31936704928,47.5,0.375754402239,0.452929947012
2011-02-03,5.05843278398,0.421536065332,-0.941567216016,47.5,0.391014956603,0.554120885439
2011-02-04,4.49999939428,0.409090854026,-1.00000060572,47.5,0.395533930959,0.57862351528
2011-02-05,2.74037549018,0.456729248363,-0.25962450982,47.5,0.40777299444,0.643851237018
2011-02-06,6.83822247881,0.488444462772,-0.161777521194,47.5,0.425840858337,0.699621940932
2011-02-07,2.99431196569,0.374288995711,-1.00568803431,46.4,0.430017925241,0.607518789784
2011-02-08,4.91010363354,0.446373057595,-0.589896366458,46.4,0.434985323693,0.664268173309
2011-02-09,5.75985382595,0.443065678919,-0.740146174051,46.7,0.441780288672,0.675446780562
2011-02-10,2.62922920094,0.328653650117,-1.37077079906,46.7,0.416165169023,0.567914194111
2011-02-11,4.74865240043,0.395721033369,-1.25134759957,47.3,0.397620483142,0.61129310383
2011-02-12,2.01584958243,0.503962395607,0.015849582428,47.3,0.423555163121,0.727408994306
2011-02-13,2.98005163627,0.298005163627,-2.01994836373,47.3,0.393881584328,0.551921147988
2011-02-14,4.9800531012,0.383081007785,-1.5199468988,47.3,0.381884650101,0.599750146367
2011-02-15,8.1030161767,0.300111710248,-5.3969838233,47.3,0.376176262127,0.523653701262
2011-02-16,4.8120927235,0.437462974864,-0.687907276497,47.0,0.384524650426,0.642620908648
2011-02-17,2.38057081353,0.34008154479,-1.11942918647,47.0,0.351748480263,0.571706103233
2011-02-18,3.75363670862,0.375363670862,-1.24636329138,47.0,0.36722018171,0.593730489241
2011-02-19,3.27027702226,0.363364113585,-1.22972297774,47.0,0.36327680287,0.585855406565
2011-02-20,1.1084926201,0.369497540034,-0.391507379899,47.0,0.377153968827,0.590778622736
2011-02-21,1.31152186463,0.327880466157,-0.688478135373,47.0,0.355237467085,0.550493223189
2011-02-22,1.37692696782,0.344231741955,-0.623073032181,47.0,0.356067506518,0.557230118879
2011-02-23,2.8448042257,0.474134037617,-0.155195774298,47.3,0.375821579869,0.687212688984
2011-02-24,5.11880791618,0.426567326348,-0.881192083824,47.3,0.388462222422,0.671871107151
2011-02-25,5.18535173833,0.398873210641,-1.31464826167,47.3,0.394337356543,0.6465586188
2011-02-26,2.86587274488,0.35823409311,-1.13412725512,47.3,0.400408081934,0.601772447786
2011-02-27,4.03326379586,0.504157974483,0.033263795863,47.3,0.43239332844,0.736701672543
2011-02-28,0.61205490513,0.20401830171,-0.88794509487,47.3,0.378370181258,0.468573792573
2011-03-01,3.09930296734,0.387412870918,-0.900697032657,47.3,0.370539290172,0.590935772221
2011-03-02,4.29212238419,0.536515298023,0.292122384187,47.6,0.398067707649,0.760451949695
2011-03-03,4.81521603998,0.401268003332,-1.18478396002,47.6,0.406674489693,0.669246512933
2011-03-04,5.29143818712,0.44095318226,-0.708561812875,47.6,0.394033531249,0.694799968845
2011-03-05,2.60140477264,0.371629253234,-0.898595227364,47.6,0.427555721553,0.631444881391
2011-03-06,2.12703983424,0.425407966848,-0.372960165761,47.6,0.435154740739,0.670953302301
2011-03-07,3.79787186495,0.474733983119,-0.202128135048,47.6,0.422798477759,0.728052062552
2011-03-08,5.15224882627,0.468386256933,-0.347751173735,47.6,0.436222128479,0.737184123968
2011-03-09,1.72194510166,0.344389020333,-0.778054898337,47.6,0.416909296093,0.618855557291
2011-03-10,3.31282741265,0.47326105895,-0.187172587348,47.6,0.437235657237,0.720304448858
2011-03-11,1.74429442351,0.348858884703,-0.755705576486,47.6,0.421925840808,0.616818889996
2011-03-12,2.08895323754,0.417790647509,-0.411046762455,47.6,0.410537173686,0.663056940209
2011-03-13,1.34121480223,0.447071600744,-0.158785197769,47.6,0.406274242448,0.700276869072
2011-03-14,2.35096790653,0.391827984422,-0.64903209347,47.6,0.415762035265,0.655109257363
2011-03-15,3.3465430304,0.478077575771,-0.153456969604,47.6,0.41672533863,0.732150309652
2011-03-16,1.68673004444,0.421682511109,-0.313269955564,47.7,0.431290063911,0.69382790141
2011-03-17,5.3062166302,0.442184719183,-0.693783369801,47.7,0.436168878246,0.708106340694
2011-03-18,5.20966739857,0.434138949881,-0.79033260143,47.7,0.433582348073,0.703356520127
2011-03-19,4.5364263347,0.412402394064,-0.963573665299,47.7,0.437697230002,0.681239077784
2011-03-20,5.95868689552,0.425620492537,-1.04131310448,47.7,0.427205813355,0.689193865823
2011-03-21,3.20223901802,0.400279877252,-0.797760981981,47.7,0.422925286583,0.665029421392
2011-03-22,3.97528566292,0.441698406991,-0.524714337084,47.7,0.422828024145,0.700529217123
2011-03-23,2.55017811962,0.425029686604,-0.449821880376,47.7,0.42100617149,0.691654684102
2011-03-24,4.84445760693,0.372650585148,-1.65554239307,47.7,0.413055809706,0.638334443591
2011-03-25,3.91191216138,0.488989020172,-0.088087838622,47.7,0.425729515234,0.741490173709
2011-03-26,1.26280225121,0.631401125606,0.262802251212,47.7,0.471953764904,0.907256954744
2011-03-27,6.23998151807,0.415998767871,-1.26001848193,47.7,0.46681383708,0.737248512087
2011-03-28,3.78271079854,0.420301199838,-0.717289201458,47.7,0.465868139727,0.70885123181
2011-03-29,4.35958256672,0.396325687884,-1.14041743328,47.7,0.470603160274,0.674270162081
2011-03-30,3.13287946822,0.447554209746,-0.367120531775,47.7,0.462316198189,0.714530025243
2011-03-31,4.04817765561,0.404817765561,-0.951822344388,47.3,0.41699952618,0.679247889206
