,headline,metadata,pubdate,source,summary,url
14,"Split-ticket voting popular in Montana, N.D.","[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/21/split-ticket-election-tester-heitkamp/1719377/?kjnd=RerweUJpkY%2FzdA1tYMLCbZlo7UOHvywYMn4%2Fq9HMXIMy3Cxe6qDCmAFHcDB%2FChIG-67e88923-59cf-4d08-9d1c-9e1efa822df2_DLlunlDIEW%2BzO2jiGgEAtakE79MZNfxGEgROo6mNSSD22FNKHXVZAJ9mbOIpDp5Q'}]",2012-11-21 11:40:25,USA Today,"Montana and North Dakota voters backed Mitt Romney for president, but a Democrat for the U.S. Senate.",http://apidata.usatoday.com/story/onpolitics/2012/11/21/split-ticket-election-tester-heitkamp/1719377/?kjnd=pTRK7%2B5f%2FXQclOGLn219MluLTUtJLyDbRepIs6yMZnz1AXkNfQ879B52hZX4weuM-67e88923-59cf-4d08-9d1c-9e1efa822df2_TLobGq1gqw4P4vufLsA2S9Ojp1HO%2BcTncO%2FbIcEuk5uqyYZi3Ifi%2BGaDiXsSRPUk
15,Rep. Jesse Jackson Jr. resigns from Congress,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/nation/2012/11/21/jesse-jackson-jr-resign-congress/1719963/?kjnd=Nxej63BuoIB%2FQYELJewomKn7TeXGiqB%2Bi5LC2Nwei4ZO5Q9ZsEonwsq9J3y07hEc-67e88923-59cf-4d08-9d1c-9e1efa822df2_oF1MBxCR6vTiiknUembX2itLJKkggxEPg3fsLLtGsCS1jxGy6DfVU7MT4yT97X%2BF'}]",2012-11-21 01:47:11,USA Today,Democrat Jesse Jackson Jr. resigned from Congress amid separate investigations of wrongdoing.,http://apidata.usatoday.com/story/news/nation/2012/11/21/jesse-jackson-jr-resign-congress/1719963/?kjnd=7cvVE5O%2Bb6dNAAfMf8VKdBI%2F%2BEErq%2BJh5Sax1KQ5FVcSmFrNE8neqR10c8V2KugQ-67e88923-59cf-4d08-9d1c-9e1efa822df2_uoffReaC999xZvN8gmkyrSTIDgVnAJcNwtsl%2B4Jl%2FpPYIrd6RR5M4bf90wa%2F6beO
16,Romney supporters form immigration super PAC,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/19/republicans-immigration-gutierrez-romney-super-pac/1715369/?kjnd=iqxe3L6RBqr8RjtV9ztNKyRPT%2BBGGCb9JX38cfVLtztdbXZy2GFsninldhvY07x8-67e88923-59cf-4d08-9d1c-9e1efa822df2_Dm5a4rPRAm7qf3ULDQ4WkHCvlOV2k2yQh60aDyrAUWBXsCfMU2xaLn%2FSwkZK56WW'}]",2012-11-19 03:21:24,USA Today,"Carlos Gutierrez, a former Commerce secretary, says the new GOP group's goal is to pass an immigration bill.",http://apidata.usatoday.com/story/onpolitics/2012/11/19/republicans-immigration-gutierrez-romney-super-pac/1715369/?kjnd=fbz87DFPjVSQ%2B07k%2FQepqP1Lr3VItLJ9OjOO7Rk%2Fi3o7ObB2fOwMOlQTulzLj5i4-67e88923-59cf-4d08-9d1c-9e1efa822df2_3wHSN%2FFk3A%2BvCgxBH4vLExpEK9Q2NdSWz71bc%2BGvOCFQRk%2FioBpX2S6%2BBCk%2F4dzF
17,GOP candidate asks for recount in North Carolina,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/20/rouzer-mcintyre-recount-election-north-carolina/1717329/?kjnd=VNObQFXdQ2ir89lXYt0IfYDqFXgC3XK7lFiRsBDK%2FzP4ecl5ddBuqNZACpstHl1R-67e88923-59cf-4d08-9d1c-9e1efa822df2_D3JwkZJvvlt8WX5sqXNgZx%2FWrTKgr3GkxB9zSk3%2FVaXkY9u%2FGnhpDs3q6GmcKPcy'}]",2012-11-20 01:49:22,USA Today,"State Sen. David Rouzer, R-N.C., says ""accidental human error"" could change the outcome in his race for Congress.",http://apidata.usatoday.com/story/onpolitics/2012/11/20/rouzer-mcintyre-recount-election-north-carolina/1717329/?kjnd=YEG99%2BvpXKqUfWYr0HJReYjpE5Mug3CmS9XNRIMudOn8ZtaSjiW%2FQCcmlvavSmy6-67e88923-59cf-4d08-9d1c-9e1efa822df2_YsSW6LUjdyOQCGQ0iwq1HisEy4LhzvQi8pbKiwapjgJ0HBYQUA0it%2Fm%2FmPwr2Hb1
18,Rand Paul 'interested' in 2016 presidential race,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/20/rand-paul-president-2016/1717601/?kjnd=cGh5Ugg4kw9LqLKfFDQ46G%2Bn7Mvq4qplfFuIVYfFwFg10CAKWL0bCyFXs27U0wQR-67e88923-59cf-4d08-9d1c-9e1efa822df2_msl2sWexGn369QXXZfxyML7bM0t4jK43n2%2BB4WUJxcsbs43HD4sVinutZQBEYscn'}]",2012-11-20 02:47:52,USA Today,"The Kentucky senator, a Tea party favorite, has watched his dad run for the White House three times.",http://apidata.usatoday.com/story/onpolitics/2012/11/20/rand-paul-president-2016/1717601/?kjnd=frAyTT%2FJ0%2BzAm1mxT6%2F%2Brx7pgAak26KQr35wGe4O05nbPOW9PVwemBrqh2GdctyC-67e88923-59cf-4d08-9d1c-9e1efa822df2_U0JjoqeZK%2FUyedqzfeOtpXIjZ1NEvsGoKL1zKMMKWCFuJQbl70g7BSHDFUaZTezA
19,"Candidate wins coin flip, but council seat up in air","[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/nation/2012/11/20/every-vote-counts/1717649/?kjnd=ed8p0mF4oBM41j9LFaLxY9Wj3lzPUgbxcI%2B%2FHtd78VXnoxLVlFj3uh6hZD%2B2r45K-67e88923-59cf-4d08-9d1c-9e1efa822df2_H5SAu0E%2BV52VvXGfi%2FfE1lMZSYC1j%2BhoCNEMdW5k%2B%2BvJSzN0j1qlqOZBbAmhN3zW'}]",2012-11-20 05:47:43,USA Today,A candidate whose wife couldn't vote on Election Day lost a tie-breaker but still might serve on his city's council.,http://apidata.usatoday.com/story/news/nation/2012/11/20/every-vote-counts/1717649/?kjnd=cvrMmoDrcKyK9wx3vjU4c5IJ5MhrwJhOTK%2BfiANa%2FhNNa%2BDpCT2MmM6cJnk%2BPolu-67e88923-59cf-4d08-9d1c-9e1efa822df2_%2BvDZh9BFBxQDyLxlMv3ykd1v2A72eEkgIHBahB3rHFGn70z1e1uoSGE0rb47hP3A
20,Menu suggestions for Obama and Romney's lunch,"[{u'isPermalink': u'true', u'value': u'http://storify.com/USATODAY/what-s-for-lunch-at-the-white-house'}]",2012-11-28 01:40:30,USA Today,Twitter users serve up some suggestions for President Obama and Mitt Romney's lunch tomorrow.,http://storify.com/USATODAY/what-s-for-lunch-at-the-white-house
21,Horrific N.C. crash puts spotlight on dram shop laws,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/2012/11/24/dram-shop-laws/1660707/?kjnd=HYO2hQMfmbzGHXe6uazZp3NtGRPWa4qeCgWyMCzKx2uv5SCpcxq8QX7V7jJP4%2BXn-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_dPf8zN8RMirU6bs%2FTJh4lTlRszqUcu9yCbLP2b6ztTdh98WDKWPlqZYq9whlyzGL'}]",2012-11-24 10:52:40,USA Today,"$1.7 million verdict in North Carolina drunken driving crash puts spotlight on ""dram shop"" laws, which vary across USA.",http://apidata.usatoday.com/story/news/2012/11/24/dram-shop-laws/1660707/?kjnd=x4piMWzeeebaWkwdki6k1twcQjA%2FE9uwyXclVwW%2FsqEQPZwPYQDYA%2B1WKSKWh4ua-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_1XPi%2Fv3pAjEK7%2F3fGxQk26%2FyArughXJQWBub5PHJ%2FBApuj%2Fk6Vd90TCHnc2EEOj5
22,Self-funding candidates fall short in Congress,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/politics/2012/11/20/self-funders-mcmahon-senate/1714225/?kjnd=nzjNwnBDYD7WgMPupWmiiBn5tZ4HmKP%2BRfBdETgWVz6YK5RGplHXhXSucwZQWis8-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_M4Pvqqx8x6193KtM0rpN8RXFWYMQ7jvS4Iklj8vMj5aWh0DOtrZtSVlz2TEgYP2C'}]",2012-11-20 05:58:23,USA Today,Self-funding candidates prove again and again that money is not enough to win an election.,http://apidata.usatoday.com/story/news/politics/2012/11/20/self-funders-mcmahon-senate/1714225/?kjnd=XR%2Baa39hnLvwWVuxgtntkv%2FeLQOntpqolGl%2BO9AhNoYe4JP3zNS0zcOrNgZ%2F31Dn-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_srVlIIHhMNU0sw6GNTDZ6Aq%2BbSLuz%2FsHtkJyHPeYz0b6vO7%2Fv%2Fd60XxIwuoKDeY0
23,Iowa governor: Straw poll 'outlived usefulness',"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/21/branstad-iowa-straw-poll/1719037/?kjnd=3fZH9JgoWS2n9o%2FrBjaQU5R68JQBL0vgYJdsBER5NhoXBj%2BeMKl6R8MwFEox2amf-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_eMxFJRmPvvgN3Mc2qBQoIhLcJGyr6g4wpqvhH%2Bcg08NBZaS43B9c5k0FHb%2BMWVqd'}]",2012-11-21 10:10:05,USA Today,The Iowa Straw Poll is a GOP presidential ritual and fundraiser that goes back to 1979.,http://apidata.usatoday.com/story/onpolitics/2012/11/21/branstad-iowa-straw-poll/1719037/?kjnd=%2FaNR28Vak9DBa3aTwn8D1WUUtr6mTCymJBm14easl3Cc9vVqwU3qZb2lsrfICmNL-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_a%2BJglGmTTkR5voSAsKa3esLSFvb6lbGVvX8a50wHCckah8YD9y6XPnltWeg7pVQN
24,"Split-ticket voting popular in Montana, N.D.","[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/21/split-ticket-election-tester-heitkamp/1719377/?kjnd=4gkVZwtxFi%2BquprZ%2BC9iZDDyZDCuKgWMXRJmFmQss7O5KMqwluyYVied5irw5tQf-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_I6PIvTfkXKJ6yFM2T5OwzUadNDqPhbWHQFvSu74avncq9Ob%2BpiVcFHwNzQW7CWS2'}]",2012-11-21 11:40:25,USA Today,"Montana and North Dakota voters backed Mitt Romney for president, but a Democrat for the U.S. Senate.",http://apidata.usatoday.com/story/onpolitics/2012/11/21/split-ticket-election-tester-heitkamp/1719377/?kjnd=CDmyOVaoI%2B2dsdduBh3SLBIIvY4O7ivyuYMZgzHcq7BKdQz9OUOj8%2BlXH%2FlzZ1gn-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_8WGgxT38%2B37EFyEhm1fNZOYux9qlr%2BmGjmQ9ZsDxZ6v4XIv0%2BOuAyQwv8sgyfjAT
25,Rep. Jesse Jackson Jr. resigns from Congress,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/nation/2012/11/21/jesse-jackson-jr-resign-congress/1719963/?kjnd=QxLU3gmbK89FgatW4vh%2BdN6ZjAclUpxkphaKNeYQWnoc0u1ZGWypzFHNRwWvSYV%2B-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_naupKblIh%2FILivaLxd9qo3Wg3cGJHYcs5yR%2Fz0PB5M%2Bit33qrfs386GPx%2B5Uowum'}]",2012-11-21 01:47:11,USA Today,Democrat Jesse Jackson Jr. resigned from Congress amid separate investigations of wrongdoing.,http://apidata.usatoday.com/story/news/nation/2012/11/21/jesse-jackson-jr-resign-congress/1719963/?kjnd=2lE9Nw0qYS4gxANQf4GkKXoZFhY1WTG3y6QU6Uj%2BjgyaSBEL6FvHJzT7%2BPsIIhqx-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_W3yCMt3Vh7QcPywoM6ExpzZABtfJ3RCvQ58E7V3uI4k4WHPMJh9GXDFajBwitHGP
26,Romney supporters form immigration super PAC,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/19/republicans-immigration-gutierrez-romney-super-pac/1715369/?kjnd=qRaRAjo%2FxAMxmqECedv%2BKCM4sfiIVMBt%2BWOe5NrFi56QROYgJ%2B8telW6HPPp4gea-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_izX0Y9h436WZCR7j7N23wzQ4XJ93MT3vqQeKdAtmlqaSJ6LCk11d25gawzF%2Bll%2By'}]",2012-11-19 03:21:24,USA Today,"Carlos Gutierrez, a former Commerce secretary, says the new GOP group's goal is to pass an immigration bill.",http://apidata.usatoday.com/story/onpolitics/2012/11/19/republicans-immigration-gutierrez-romney-super-pac/1715369/?kjnd=vhMI%2BmjxaWW2KZ%2Bz9gUS9LRC438iU7WrVBfCi9P%2B%2Bww5MTKgWKNozY%2BsHzAcvtYF-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_oYbFrPqPtpa2PrUQpKvxv%2F9PSO4lNzFvbqpBK1CuYOsJpNK1Te3nv4ltLgxf6ODs
27,GOP candidate asks for recount in North Carolina,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/20/rouzer-mcintyre-recount-election-north-carolina/1717329/?kjnd=%2FecPPij6Ni2SRMMtjJmM1zjhdc%2B7zfw3gIOPQypcLJ%2B8JlrX6q08ovmFtF1pAa7R-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_9%2BhkH0fdWJnix%2BFLEaOUAS1y94hY99XFeQnGD00Cn6WfsR3kVy0%2FVBKDHGxtDpPI'}]",2012-11-20 01:49:22,USA Today,"State Sen. David Rouzer, R-N.C., says ""accidental human error"" could change the outcome in his race for Congress.",http://apidata.usatoday.com/story/onpolitics/2012/11/20/rouzer-mcintyre-recount-election-north-carolina/1717329/?kjnd=vjyFvT6drf50schHH4SD8eAbDGqWBU7xC0wEKeqrRxLgeXUal3Wzoyc7e5fuN8P7-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_fgmNjBGkJ%2FFdSZjCZs%2FfG0ZgOWtpwb%2FM1QSf2TfvcplfJBEg9ZrrgL%2Bu4huLPyi0
28,Rand Paul 'interested' in 2016 presidential race,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/20/rand-paul-president-2016/1717601/?kjnd=DnzR8ryUbP5WzlBXWZ2NElBywRnSWCM5sSmLFzn%2BzefY9lrqb%2FS2Umewk2P79Zs4-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_GfLyB3PoeObX077ldnVMssDddVrtYSV4%2Bg68ZAjd02YSpEE7KJmopGM8HD0e8NP4'}]",2012-11-20 02:47:52,USA Today,"The Kentucky senator, a Tea party favorite, has watched his dad run for the White House three times.",http://apidata.usatoday.com/story/onpolitics/2012/11/20/rand-paul-president-2016/1717601/?kjnd=S7Acl6Kfxa%2FhMELi2HORgXmFow7N0sObLZrN1QfrLdDGse9ItnHdeSlxZS4xozMp-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_hjE1BRdCEg%2FNKJblT8EnaXiEHwg3cjdh2hQUqlCHGNC1UHwktJ5iMiK%2F0z99n99q
29,"Candidate wins coin flip, but council seat up in air","[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/nation/2012/11/20/every-vote-counts/1717649/?kjnd=tDrrSu06LlWXjY%2Fnql%2Bkx397HGAvfhM0H%2FZuyICZeX%2BSbznXXf9%2BGINVEO08cCBu-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_CMvrQES6Cj%2Bjxy2T%2BQX8E%2FVrjgLwagbTUKT4XPWCPLAfbDkHDcdHTPXQIQNEeERA'}]",2012-11-20 05:47:43,USA Today,A candidate whose wife couldn't vote on Election Day lost a tie-breaker but still might serve on his city's council.,http://apidata.usatoday.com/story/news/nation/2012/11/20/every-vote-counts/1717649/?kjnd=S3A7OLsBS3ASEUK7ebMrkfvxzHrVmBww4YXZNG5qDpXx3AsbFIMa7kNAnZOrhXfy-1b1ff50b-0b67-4318-b5a2-ce0af00b5709_qmLzGVkoLBnicA6jzEZ1OPGF6H8W%2F08gSrO47gyihY8jkYf2bfAvUYR442peG3jC
