,alpha,avg_score,min_df,ngram,scores,scoring_method,vectorizer
219,0.1,0.924799948501,5e-06,"(1, 2)","[0.925314937013, 0.927692769277, 0.921392139214]",testing_score,TfidfVectorizer
220,0.5,0.919899968401,5e-06,"(1, 2)","[0.920215956809, 0.925292529253, 0.914191419142]",testing_score,TfidfVectorizer
221,1.0,0.916900058332,5e-06,"(1, 2)","[0.916316736653, 0.919591959196, 0.914791479148]",testing_score,TfidfVectorizer
222,0.0,0.500300000006,1e-05,"(1, 2)","[0.500299940012, 0.500450045005, 0.500150015002]",testing_score,TfidfVectorizer
223,0.001,0.911599678264,1e-05,"(1, 2)","[0.914817036593, 0.91299129913, 0.90699069907]",testing_score,TfidfVectorizer
224,0.05,0.923199818482,1e-05,"(1, 2)","[0.925014997001, 0.926492649265, 0.918091809181]",testing_score,TfidfVectorizer
225,0.1,0.924799948501,1e-05,"(1, 2)","[0.925314937013, 0.927692769277, 0.921392139214]",testing_score,TfidfVectorizer
226,0.5,0.919899968401,1e-05,"(1, 2)","[0.920215956809, 0.925292529253, 0.914191419142]",testing_score,TfidfVectorizer
227,1.0,0.916900058332,1e-05,"(1, 2)","[0.916316736653, 0.919591959196, 0.914791479148]",testing_score,TfidfVectorizer
228,0.0,0.500300000006,5e-05,"(1, 2)","[0.500299940012, 0.500450045005, 0.500150015002]",testing_score,TfidfVectorizer
229,0.001,0.911599678264,5e-05,"(1, 2)","[0.914817036593, 0.91299129913, 0.90699069907]",testing_score,TfidfVectorizer
230,0.05,0.923199818482,5e-05,"(1, 2)","[0.925014997001, 0.926492649265, 0.918091809181]",testing_score,TfidfVectorizer
231,0.1,0.924799948501,5e-05,"(1, 2)","[0.925314937013, 0.927692769277, 0.921392139214]",testing_score,TfidfVectorizer
232,0.5,0.919899968401,5e-05,"(1, 2)","[0.920215956809, 0.925292529253, 0.914191419142]",testing_score,TfidfVectorizer
233,1.0,0.916900058332,5e-05,"(1, 2)","[0.916316736653, 0.919591959196, 0.914791479148]",testing_score,TfidfVectorizer
234,0.0,0.500300000006,0.0001,"(1, 2)","[0.500299940012, 0.500450045005, 0.500150015002]",testing_score,TfidfVectorizer
235,0.001,0.911599678264,0.0001,"(1, 2)","[0.914817036593, 0.91299129913, 0.90699069907]",testing_score,TfidfVectorizer
236,0.05,0.923199818482,0.0001,"(1, 2)","[0.925014997001, 0.926492649265, 0.918091809181]",testing_score,TfidfVectorizer
237,0.1,0.924799948501,0.0001,"(1, 2)","[0.925314937013, 0.927692769277, 0.921392139214]",testing_score,TfidfVectorizer
238,0.5,0.919899968401,0.0001,"(1, 2)","[0.920215956809, 0.925292529253, 0.914191419142]",testing_score,TfidfVectorizer
239,1.0,0.916900058332,0.0001,"(1, 2)","[0.916316736653, 0.919591959196, 0.914791479148]",testing_score,TfidfVectorizer
