,alpha,avg_score,min_df,ngram,scores,scoring_method,vectorizer
94,10.0,-1601.33006577,1e-05,"(1, 2)","[-1598.10917172, -1605.43564285, -1600.44538273]",log_likelihood,TfidfVectorizer
95,50.0,-1673.44840346,1e-05,"(1, 2)","[-1672.80323164, -1674.76419737, -1672.77778135]",log_likelihood,TfidfVectorizer
96,0.0,-inf,0.0001,"(1, 2)","[-inf, -inf, -inf]",log_likelihood,TfidfVectorizer
97,0.1,-1291.76869973,0.0001,"(1, 2)","[-1278.80734317, -1298.52353558, -1297.97522042]",log_likelihood,TfidfVectorizer
98,1.0,-1404.25019948,0.0001,"(1, 2)","[-1394.01747196, -1408.87895042, -1409.85417605]",log_likelihood,TfidfVectorizer
99,5.0,-1549.0586887,0.0001,"(1, 2)","[-1543.47027169, -1554.19516097, -1549.51063344]",log_likelihood,TfidfVectorizer
100,10.0,-1601.33006577,0.0001,"(1, 2)","[-1598.10917172, -1605.43564285, -1600.44538273]",log_likelihood,TfidfVectorizer
101,50.0,-1673.44840346,0.0001,"(1, 2)","[-1672.80323164, -1674.76419737, -1672.77778135]",log_likelihood,TfidfVectorizer
102,0.0,-inf,0.001,"(1, 2)","[-inf, -inf, -inf]",log_likelihood,TfidfVectorizer
103,0.1,-1320.48991994,0.001,"(1, 2)","[-1312.7246716, -1330.83051973, -1317.91456848]",log_likelihood,TfidfVectorizer
104,1.0,-1384.74608528,0.001,"(1, 2)","[-1377.04020275, -1389.96318355, -1387.23486953]",log_likelihood,TfidfVectorizer
105,5.0,-1522.26253738,0.001,"(1, 2)","[-1518.60105311, -1527.03623296, -1521.15032606]",log_likelihood,TfidfVectorizer
106,10.0,-1579.31664044,0.001,"(1, 2)","[-1577.3807948, -1582.99308602, -1577.57604051]",log_likelihood,TfidfVectorizer
107,50.0,-1664.40900033,0.001,"(1, 2)","[-1664.13475424, -1665.49317608, -1663.59907066]",log_likelihood,TfidfVectorizer
108,0.0,-1484.42618315,0.01,"(1, 2)","[-1495.3391086, -1487.18582193, -1470.75361891]",log_likelihood,TfidfVectorizer
109,0.1,-1486.36305567,0.01,"(1, 2)","[-1496.57886423, -1489.07408527, -1473.4362175]",log_likelihood,TfidfVectorizer
110,1.0,-1503.86442849,0.01,"(1, 2)","[-1511.1936981, -1506.21641485, -1494.18317251]",log_likelihood,TfidfVectorizer
111,5.0,-1555.54089971,0.01,"(1, 2)","[-1560.5426164, -1556.97418308, -1549.10589966]",log_likelihood,TfidfVectorizer
112,10.0,-1589.18024304,0.01,"(1, 2)","[-1593.15952552, -1589.97075612, -1584.41044748]",log_likelihood,TfidfVectorizer
113,50.0,-1659.61674275,0.01,"(1, 2)","[-1661.19979801, -1659.18869375, -1658.46173649]",log_likelihood,TfidfVectorizer
114,0.0,-1666.05450701,0.1,"(1, 2)","[-1677.3929452, -1670.07673379, -1650.69384203]",log_likelihood,TfidfVectorizer
115,0.1,-1666.11990033,0.1,"(1, 2)","[-1677.43139102, -1670.12905561, -1650.79925436]",log_likelihood,TfidfVectorizer
116,1.0,-1666.69440374,0.1,"(1, 2)","[-1677.77602891, -1670.58745376, -1651.71972856]",log_likelihood,TfidfVectorizer
117,5.0,-1668.99298597,0.1,"(1, 2)","[-1679.25785046, -1672.40913997, -1655.31196748]",log_likelihood,TfidfVectorizer
118,10.0,-1671.43674696,0.1,"(1, 2)","[-1680.96089139, -1674.34969265, -1658.99965684]",log_likelihood,TfidfVectorizer
119,50.0,-1683.37011909,0.1,"(1, 2)","[-1689.84624444, -1684.35741629, -1675.90669654]",log_likelihood,TfidfVectorizer
120,0.0,0.574875320124,1e-05,"(1, 1)","[0.561665992721, 0.572583906187, 0.590376061464]",testing_score,CountVectorizer
121,0.1,0.695511524464,1e-05,"(1, 1)","[0.691872219976, 0.696320258795, 0.698342094622]",testing_score,CountVectorizer
122,1.0,0.689850384149,1e-05,"(1, 1)","[0.67569753336, 0.691063485645, 0.702790133441]",testing_score,CountVectorizer
123,5.0,0.665318776115,1e-05,"(1, 1)","[0.651839870603, 0.662353416903, 0.681763040841]",testing_score,CountVectorizer
124,10.0,0.631217145168,1e-05,"(1, 1)","[0.609785685402, 0.622321067529, 0.661544682572]",testing_score,CountVectorizer
125,50.0,0.535516916026,1e-05,"(1, 1)","[0.511524464214, 0.532147189648, 0.562879094218]",testing_score,CountVectorizer
126,0.0,0.574875320124,0.0001,"(1, 1)","[0.561665992721, 0.572583906187, 0.590376061464]",testing_score,CountVectorizer
127,0.1,0.695511524464,0.0001,"(1, 1)","[0.691872219976, 0.696320258795, 0.698342094622]",testing_score,CountVectorizer
128,1.0,0.689850384149,0.0001,"(1, 1)","[0.67569753336, 0.691063485645, 0.702790133441]",testing_score,CountVectorizer
129,5.0,0.665318776115,0.0001,"(1, 1)","[0.651839870603, 0.662353416903, 0.681763040841]",testing_score,CountVectorizer
130,10.0,0.631217145168,0.0001,"(1, 1)","[0.609785685402, 0.622321067529, 0.661544682572]",testing_score,CountVectorizer
131,50.0,0.535516916026,0.0001,"(1, 1)","[0.511524464214, 0.532147189648, 0.562879094218]",testing_score,CountVectorizer
132,0.0,0.65413128454,0.001,"(1, 1)","[0.634047715326, 0.652244237768, 0.676101900526]",testing_score,CountVectorizer
133,0.1,0.6911982747,0.001,"(1, 1)","[0.678932470683, 0.687019813991, 0.707642539426]",testing_score,CountVectorizer
134,1.0,0.684458821944,0.001,"(1, 1)","[0.67044076021, 0.681358673676, 0.701577031945]",testing_score,CountVectorizer
135,5.0,0.674080064699,0.001,"(1, 1)","[0.661140315406, 0.672058228872, 0.689041649818]",testing_score,CountVectorizer
136,10.0,0.665453565171,0.001,"(1, 1)","[0.653861706429, 0.663566518399, 0.678932470683]",testing_score,CountVectorizer
137,50.0,0.588084647527,0.001,"(1, 1)","[0.559239789729, 0.573797007683, 0.631217145168]",testing_score,CountVectorizer
138,0.0,0.643213371074,0.01,"(1, 1)","[0.634452082491, 0.642135058633, 0.653052972099]",testing_score,CountVectorizer
139,0.1,0.643078582019,0.01,"(1, 1)","[0.634452082491, 0.642135058633, 0.652648604933]",testing_score,CountVectorizer
140,1.0,0.64361773824,0.01,"(1, 1)","[0.635260816822, 0.642539425799, 0.653052972099]",testing_score,CountVectorizer
141,5.0,0.643213371074,0.01,"(1, 1)","[0.634856449656, 0.641326324302, 0.653457339264]",testing_score,CountVectorizer
142,10.0,0.642404636743,0.01,"(1, 1)","[0.632430246664, 0.640517589972, 0.654266073595]",testing_score,CountVectorizer
143,50.0,0.638226176035,0.01,"(1, 1)","[0.632430246664, 0.635665183987, 0.646583097452]",testing_score,CountVectorizer
144,0.0,0.598598193827,0.1,"(1, 1)","[0.587141124141, 0.60210270926, 0.606550748079]",testing_score,CountVectorizer
145,0.1,0.598598193827,0.1,"(1, 1)","[0.587141124141, 0.60210270926, 0.606550748079]",testing_score,CountVectorizer
146,1.0,0.598463404772,0.1,"(1, 1)","[0.586736756975, 0.60210270926, 0.606550748079]",testing_score,CountVectorizer
147,5.0,0.598059037606,0.1,"(1, 1)","[0.58633238981, 0.601698342095, 0.606146380914]",testing_score,CountVectorizer
148,10.0,0.598328615716,0.1,"(1, 1)","[0.58633238981, 0.602911443591, 0.605742013748]",testing_score,CountVectorizer
149,50.0,0.598732982882,0.1,"(1, 1)","[0.585523655479, 0.604124545087, 0.606550748079]",testing_score,CountVectorizer
150,0.0,0.525542525947,1e-05,"(1, 2)","[0.516781237364, 0.520016174687, 0.539830165791]",testing_score,CountVectorizer
151,0.1,0.725030327537,1e-05,"(1, 2)","[0.719369187222, 0.720582288718, 0.735139506672]",testing_score,CountVectorizer
152,1.0,0.718156085726,1e-05,"(1, 2)","[0.708046906591, 0.715325515568, 0.731095835018]",testing_score,CountVectorizer
153,5.0,0.641595902413,1e-05,"(1, 2)","[0.622725434695, 0.627982207845, 0.674080064699]",testing_score,CountVectorizer
154,10.0,0.603315810756,1e-05,"(1, 2)","[0.588354225637, 0.591184795795, 0.630408410837]",testing_score,CountVectorizer
155,50.0,0.56058768028,1e-05,"(1, 2)","[0.547917509098, 0.554387383744, 0.579458147998]",testing_score,CountVectorizer
156,0.0,0.525542525947,0.0001,"(1, 2)","[0.516781237364, 0.520016174687, 0.539830165791]",testing_score,CountVectorizer
157,0.1,0.725030327537,0.0001,"(1, 2)","[0.719369187222, 0.720582288718, 0.735139506672]",testing_score,CountVectorizer
158,1.0,0.718156085726,0.0001,"(1, 2)","[0.708046906591, 0.715325515568, 0.731095835018]",testing_score,CountVectorizer
159,5.0,0.641595902413,0.0001,"(1, 2)","[0.622725434695, 0.627982207845, 0.674080064699]",testing_score,CountVectorizer
160,10.0,0.603315810756,0.0001,"(1, 2)","[0.588354225637, 0.591184795795, 0.630408410837]",testing_score,CountVectorizer
161,50.0,0.56058768028,0.0001,"(1, 2)","[0.547917509098, 0.554387383744, 0.579458147998]",testing_score,CountVectorizer
162,0.0,0.588489014692,0.001,"(1, 2)","[0.574201374848, 0.578245046502, 0.613020622725]",testing_score,CountVectorizer
163,0.1,0.709933953363,0.001,"(1, 2)","[0.701577031945, 0.706025070764, 0.72219975738]",testing_score,CountVectorizer
164,1.0,0.705081547378,0.001,"(1, 2)","[0.694702790133, 0.706025070764, 0.714516781237]",testing_score,CountVectorizer
165,5.0,0.690119962259,0.001,"(1, 2)","[0.678528103518, 0.685806712495, 0.706025070764]",testing_score,CountVectorizer
166,10.0,0.674080064699,0.001,"(1, 2)","[0.660331581076, 0.671249494541, 0.69065911848]",testing_score,CountVectorizer
167,50.0,0.579862515164,0.001,"(1, 2)","[0.553174282248, 0.564900930044, 0.621512333199]",testing_score,CountVectorizer
168,0.0,0.651031136272,0.01,"(1, 2)","[0.642135058633, 0.645369995956, 0.665588354226]",testing_score,CountVectorizer
169,0.1,0.651165925327,0.01,"(1, 2)","[0.642539425799, 0.645369995956, 0.665588354226]",testing_score,CountVectorizer
170,1.0,0.650626769106,0.01,"(1, 2)","[0.641730691468, 0.645369995956, 0.664779619895]",testing_score,CountVectorizer
171,5.0,0.649818034776,0.01,"(1, 2)","[0.642135058633, 0.642943792964, 0.664375252729]",testing_score,CountVectorizer
172,10.0,0.648335355169,0.01,"(1, 2)","[0.642135058633, 0.641730691468, 0.661140315406]",testing_score,CountVectorizer
173,50.0,0.640921957137,0.01,"(1, 2)","[0.631621512333, 0.634856449656, 0.656287909422]",testing_score,CountVectorizer
174,0.0,0.589297749023,0.1,"(1, 2)","[0.57581884351, 0.59158916296, 0.600485240598]",testing_score,CountVectorizer
175,0.1,0.589297749023,0.1,"(1, 2)","[0.57581884351, 0.59158916296, 0.600485240598]",testing_score,CountVectorizer
176,1.0,0.589297749023,0.1,"(1, 2)","[0.57581884351, 0.59158916296, 0.600485240598]",testing_score,CountVectorizer
177,5.0,0.589297749023,0.1,"(1, 2)","[0.57581884351, 0.59158916296, 0.600485240598]",testing_score,CountVectorizer
178,10.0,0.588623803747,0.1,"(1, 2)","[0.575010109179, 0.591184795795, 0.599676506268]",testing_score,CountVectorizer
179,50.0,0.589567327133,0.1,"(1, 2)","[0.574201374848, 0.592397897291, 0.60210270926]",testing_score,CountVectorizer
180,0.0,0.606550748079,1e-05,"(1, 1)","[0.603720177922, 0.603720177922, 0.612211888395]",testing_score,TfidfVectorizer
181,0.1,0.723143280766,1e-05,"(1, 1)","[0.723412858876, 0.718964820057, 0.727052163364]",testing_score,TfidfVectorizer
182,1.0,0.715864671789,1e-05,"(1, 1)","[0.71694298423, 0.712090578245, 0.718560452891]",testing_score,TfidfVectorizer
183,5.0,0.687154603046,1e-05,"(1, 1)","[0.683380509503, 0.693085321472, 0.684997978164]",testing_score,TfidfVectorizer
184,10.0,0.662892573123,1e-05,"(1, 1)","[0.663162151233, 0.669227658714, 0.656287909422]",testing_score,TfidfVectorizer
185,50.0,0.576762366896,1e-05,"(1, 1)","[0.596441568945, 0.576223210675, 0.557622321068]",testing_score,TfidfVectorizer
186,0.0,0.606550748079,0.0001,"(1, 1)","[0.603720177922, 0.603720177922, 0.612211888395]",testing_score,TfidfVectorizer
187,0.1,0.723143280766,0.0001,"(1, 1)","[0.723412858876, 0.718964820057, 0.727052163364]",testing_score,TfidfVectorizer
188,1.0,0.715864671789,0.0001,"(1, 1)","[0.71694298423, 0.712090578245, 0.718560452891]",testing_score,TfidfVectorizer
189,5.0,0.687154603046,0.0001,"(1, 1)","[0.683380509503, 0.693085321472, 0.684997978164]",testing_score,TfidfVectorizer
190,10.0,0.662892573123,0.0001,"(1, 1)","[0.663162151233, 0.669227658714, 0.656287909422]",testing_score,TfidfVectorizer
191,50.0,0.576762366896,0.0001,"(1, 1)","[0.596441568945, 0.576223210675, 0.557622321068]",testing_score,TfidfVectorizer
192,0.0,0.683515298558,0.001,"(1, 1)","[0.67488879903, 0.678528103518, 0.697128993126]",testing_score,TfidfVectorizer
193,0.1,0.719638765332,0.001,"(1, 1)","[0.713708046907, 0.712899312576, 0.732308936514]",testing_score,TfidfVectorizer
194,1.0,0.71168621108,0.001,"(1, 1)","[0.712899312576, 0.705620703599, 0.716538617064]",testing_score,TfidfVectorizer
195,5.0,0.68567192344,0.001,"(1, 1)","[0.683380509503, 0.687424181156, 0.68621107966]",testing_score,TfidfVectorizer
196,10.0,0.658174956194,0.001,"(1, 1)","[0.65467044076, 0.663970885564, 0.655883542256]",testing_score,TfidfVectorizer
197,50.0,0.571236015636,0.001,"(1, 1)","[0.589162959968, 0.570966437525, 0.553578649414]",testing_score,TfidfVectorizer
198,0.0,0.659253268635,0.01,"(1, 1)","[0.646987464618, 0.656692276587, 0.674080064699]",testing_score,TfidfVectorizer
199,0.1,0.658444534304,0.01,"(1, 1)","[0.648200566114, 0.65467044076, 0.672462596037]",testing_score,TfidfVectorizer
200,1.0,0.657501010918,0.01,"(1, 1)","[0.649009300445, 0.654266073595, 0.669227658714]",testing_score,TfidfVectorizer
201,5.0,0.650357190996,0.01,"(1, 1)","[0.640517589972, 0.647391831783, 0.663162151233]",testing_score,TfidfVectorizer
202,10.0,0.642809003909,0.01,"(1, 1)","[0.632025879499, 0.645774363122, 0.650626769106]",testing_score,TfidfVectorizer
203,50.0,0.583097452487,0.01,"(1, 1)","[0.588354225637, 0.583906186818, 0.577031945006]",testing_score,TfidfVectorizer
204,0.0,0.59212831918,0.1,"(1, 1)","[0.577031945006, 0.588354225637, 0.610998786899]",testing_score,TfidfVectorizer
205,0.1,0.59212831918,0.1,"(1, 1)","[0.576627577841, 0.588354225637, 0.611403154064]",testing_score,TfidfVectorizer
206,1.0,0.59158916296,0.1,"(1, 1)","[0.575414476345, 0.588758592802, 0.610594419733]",testing_score,TfidfVectorizer
207,5.0,0.592263108236,0.1,"(1, 1)","[0.578649413668, 0.590376061464, 0.607763849575]",testing_score,TfidfVectorizer
208,10.0,0.590915217684,0.1,"(1, 1)","[0.575414476345, 0.59158916296, 0.605742013748]",testing_score,TfidfVectorizer
209,50.0,0.585793233589,0.1,"(1, 1)","[0.588758592802, 0.587949858471, 0.580671249495]",testing_score,TfidfVectorizer
210,0.0,0.548187087209,1e-05,"(1, 2)","[0.552769915083, 0.542660735948, 0.549130610594]",testing_score,TfidfVectorizer
