date,pos_sum,pos_mean,net_pos,running_pos_avg,geom_pos_avg,sup_sum,sup_mean,net_sup,running_sup_avg,geom_sup_avg,obj_sum,obj_mean,net_obj,running_obj_avg,geom_obj_avg,polls
2011-02-01,14.9616715484,0.748083577418,4.96167154836,0.713341349437,1.17524575113,7.96210286573,0.398105143286,-2.03789713427,0.434161876577,0.665851285013,16.2985181467,0.814925907334,6.29851814669,0.884851946931,1.38209287158,47.5
2011-02-02,4.97961543536,0.553290603929,0.479615435358,0.680614110166,0.996079963884,3.18063295072,0.353403661191,-1.31936704928,0.412127784571,0.613258192994,6.81634308946,0.757371454385,2.31634308946,0.874775698968,1.29821867586,47.5
2011-02-03,7.33924196082,0.611603496735,1.33924196082,0.663364050058,1.01285242909,5.05843278398,0.421536065332,-0.941567216016,0.405067786311,0.666805074516,9.37948695198,0.781623912665,3.37948695198,0.851392095226,1.29764748759,47.5
2011-02-04,8.03213639016,0.730194217287,2.53213639016,0.664033536867,1.12860392431,4.49999939428,0.409090854026,-1.00000060572,0.402269123985,0.664602738276,8.55383998927,0.777621817206,3.05383998927,0.813851789923,1.288060109,47.5
2011-02-05,3.83391873843,0.638986456405,0.83391873843,0.656431670355,1.06420145603,2.74037549018,0.456729248363,-0.25962450982,0.40777299444,0.712816406823,4.57233956364,0.76205659394,1.57233956364,0.778719937106,1.26757099906,47.5
2011-02-06,10.2465821696,0.731898726398,3.24658216958,0.653194700151,1.1454312816,6.83822247881,0.488444462772,-0.161777521194,0.425840858337,0.756832846563,12.6879858396,0.906284702827,5.68798583958,0.796991696205,1.40478823307,47.5
2011-02-07,4.73569918699,0.591962398374,0.73569918699,0.66092905904,1.02453948724,2.99431196569,0.374288995711,-1.00568803431,0.430017925241,0.656142541825,7.10672511548,0.888340639435,3.10672511548,0.823185533215,1.41904483088,46.4
2011-02-08,6.87728485498,0.625207714089,1.37728485498,0.663649902511,1.03111323245,4.91010363354,0.446373057595,-0.589896366458,0.434985323693,0.706356695411,10.5238284694,0.956711679036,5.0238284694,0.858203086489,1.49646468812,46.4
2011-02-09,8.89614888405,0.684319144927,2.39614888405,0.654474888039,1.08766530234,5.75985382595,0.443065678919,-0.740146174051,0.441780288672,0.712403941944,12.0338739087,0.925682608358,5.53387390866,0.887815244719,1.48780770045,46.7
2011-02-10,3.63477049723,0.454346312154,-0.36522950277,0.617546859188,0.870442126316,2.62922920094,0.328653650117,-1.37077079906,0.416165169023,0.600741849746,5.47975642161,0.684969552702,1.47975642161,0.872397836472,1.25030511943,46.7
2011-02-11,8.0577423036,0.6714785253,2.0577423036,0.605462818969,1.03526357024,4.74865240043,0.395721033369,-1.25134759957,0.397620483142,0.640730652781,9.33862443166,0.778218702639,3.33862443166,0.846784636434,1.28652367743,47.3
2011-02-12,3.10628440938,0.776571102346,1.10628440938,0.642384559763,1.17182432557,2.01584958243,0.503962395607,0.015849582428,0.423555163121,0.754017305218,3.73902896781,0.934757241954,1.73902896781,0.856067956938,1.44212077505,47.3
2011-02-13,6.87667395724,0.687667395724,1.87667395724,0.65487649609,1.12063334122,2.98005163627,0.298005163627,-2.01994836373,0.393881584328,0.576135476448,8.48639614556,0.848639614556,3.48639614556,0.834453544042,1.39241042747,47.3
2011-02-14,5.8857461266,0.452749702046,-0.614253873397,0.608562607514,0.880690546157,4.9800531012,0.383081007785,-1.5199468988,0.381884650101,0.621914833754,10.5223644791,0.809412652239,4.02236447911,0.811199552818,1.34681075928,47.3
2011-02-15,14.7061832109,0.544673452256,1.20618321092,0.626628035535,0.913718540661,8.1030161767,0.300111710248,-5.3969838233,0.376176262127,0.544045689877,21.5400646072,0.797780170637,8.04006460721,0.833761676405,1.32390812101,47.3
2011-02-16,6.09223946818,0.553839951652,0.592239468176,0.603100320805,0.920406049322,4.8120927235,0.437462974864,-0.687907276497,0.384524650426,0.6614661324,9.24114195186,0.840103813805,3.74114195186,0.846138698638,1.35858806449,47.0
2011-02-17,3.7117305799,0.5302472257,0.211730579903,0.553835545476,0.895368522076,2.38057081353,0.34008154479,-1.11942918647,0.351748480263,0.589191193348,6.48610913202,0.92658701886,2.98610913202,0.84450465402,1.45185895845,47.0
2011-02-18,6.52476081222,0.652476081222,1.52476081222,0.546797282576,1.00973870581,3.75363670862,0.375363670862,-1.24636329138,0.36722018171,0.610011313229,8.45136871692,0.845136871692,3.45136871692,0.843804105447,1.39450521321,47.0
2011-02-19,4.99571557902,0.55507950878,0.495715579018,0.567263243922,0.938591309346,3.27027702226,0.363364113585,-1.22972297774,0.36327680287,0.601063414459,7.91401627769,0.879335141966,3.4140162777,0.857788603392,1.41915646708,47.0
2011-02-20,2.20872389309,0.736241297698,0.708723893093,0.60557681301,1.10614810266,1.1084926201,0.369497540034,-0.391507379899,0.377153968827,0.605025642409,2.75000348877,0.916667829589,1.25000348877,0.881566135182,1.46209831246,47.0
2011-02-21,3.18164369505,0.795410923762,1.18164369505,0.653891007432,1.20538880665,1.31152186463,0.327880466157,-0.688478135373,0.355237467085,0.563875137736,2.40498480996,0.60124620249,0.404984809961,0.833794612919,1.158646059,47.0
2011-02-22,2.27059593275,0.567648983188,0.270595932751,0.66137135893,1.00981153989,1.37692696782,0.344231741955,-0.623073032181,0.356067506518,0.569829724407,3.55271246004,0.888178115011,1.55271246004,0.82611283215,1.37249414824,47.0
2011-02-23,4.61547667201,0.769246112001,1.61547667201,0.684725365086,1.17066191308,2.8448042257,0.474134037617,-0.155195774298,0.375821579869,0.699101942301,5.70847622999,0.951412704997,2.70847622999,0.847367998811,1.47588718546,47.3
