date,fav_sum,fav_mean,net_probability_positive,polls,running_pos_avg,geom_avg
2011-02-01,1.42510340987,0.712551704936,0.425103409872,41.5,0.712551704936,0.712551704936
2011-02-02,0.940242172357,0.470121086179,-0.059757827643,41.5,0.591336395557,0.648259012413
2011-02-08,0.862121883811,0.862121883811,0.362121883811,42.0,0.681598224975,1.05882456702
2011-02-09,0.503839571691,0.503839571691,0.003839571691,42.7,0.637158561654,0.816140200444
2011-02-14,0.646317840246,0.646317840246,0.146317840246,42.0,0.638990417373,0.925953689676
2011-02-18,0.379181002676,0.379181002676,-0.120818997324,41.7,0.572316276921,0.68922320147
2011-02-25,0.800139180274,0.800139180274,0.300139180274,42.8,0.63831989574,1.06032316348
2011-02-28,0.716408827186,0.716408827186,0.216408827186,42.8,0.609177284415,1.06379905103
2011-03-01,1.32571028886,0.662855144428,0.325710288855,42.8,0.640980398962,1.02814567528
2011-03-02,0.47318128343,0.47318128343,-0.02681871657,42.4,0.606353087599,0.838307838299
2011-03-05,0.766705450559,0.766705450559,0.266705450559,42.4,0.683857977175,1.08826146885
2011-03-06,1.73590582483,0.867952912416,0.735905824832,42.4,0.697420723604,1.24602799966
2011-03-08,0.744411365487,0.744411365487,0.244411365487,42.4,0.703021231264,1.17245505808
2011-03-09,0.686473441441,0.686473441441,0.186473441441,42.4,0.707744890667,1.10910983894
2011-03-14,0.814391950725,0.814391950725,0.314391950725,42.4,0.775987024126,1.22468064209
2011-03-15,0.823369665296,0.823369665296,0.323369665296,42.4,0.787319867073,1.26251825607
2011-03-17,0.847278901475,0.847278901475,0.347278901475,42.6,0.783185064885,1.30256269087
2011-03-20,0.771191348952,0.385595674476,-0.228808651048,42.6,0.711421926683,0.856552210947
2011-03-21,0.890503987974,0.890503987974,0.390503987974,42.6,0.752228035989,1.25547207825
2011-03-28,0.856409822741,0.856409822741,0.356409822741,42.6,0.760631610392,1.30294815169
2011-03-30,0.378497496737,0.378497496737,-0.121502503263,42.6,0.671657176681,0.848831066
2011-04-03,0.511846387227,0.511846387227,0.011846387227,42.6,0.604570673831,0.876075668791
2011-04-04,0.577107859672,0.288553929836,-0.422892140328,42.6,0.585162324903,0.641640236782
2011-04-09,0.534307032957,0.534307032957,0.034307032957,42.6,0.5139229339,0.822629945663
2011-04-10,0.882612269318,0.882612269318,0.382612269318,42.6,0.519163423215,1.20141092299
2011-04-11,1.39875671263,0.699378356317,0.398756712634,42.6,0.583339595131,1.11433762682
2011-04-12,3.91855487926,0.653092479876,0.918554879257,42.2,0.611588813661,1.06434262516
2011-04-13,1.19170593358,0.595852966792,0.191705933584,42.2,0.673048621052,0.998369482629
2011-04-14,0.505176171211,0.505176171211,0.005176171211,42.0,0.667222448703,0.891363334963
2011-04-15,2.76531174453,0.691327936133,0.765311744531,42.9,0.628965582066,1.04824634915
2011-04-16,0.54834227215,0.54834227215,0.04834227215,42.9,0.598758365232,0.938473446991
2011-04-17,0.719156678887,0.719156678887,0.219156678887,42.9,0.611971205035,1.08678344956
2011-04-21,0.593000091498,0.593000091498,0.093000091498,43.7,0.611400629976,0.994428471575
2011-04-28,0.841973944551,0.841973944551,0.341973944551,43.7,0.678760184644,1.22623373
2011-04-30,0.782938396754,0.782938396754,0.282938396754,43.7,0.697082276768,1.22335618468
2011-05-02,0.574675738993,0.574675738993,0.074675738993,43.7,0.702348970137,1.02517317851
2011-05-03,0.374735036405,0.374735036405,-0.125264963595,43.7,0.63346464164,0.780660872887
2011-05-05,0.832366395514,0.416183197757,-0.167633604486,42.6,0.598101262892,0.754386880644
2011-05-07,0.882681838429,0.882681838429,0.382681838429,42.6,0.606242841668,1.20005631448
2011-05-09,0.953190959243,0.953190959243,0.453190959243,42.6,0.640293354165,1.37410640476
2011-05-10,0.605853983136,0.605853983136,0.105853983136,42.6,0.646529002994,1.0875529139
2011-05-12,1.43365912833,0.716829564166,0.433659128332,42.4,0.714947908546,1.14260791722
2011-05-13,4.42879434944,0.632684907063,0.92879434944,42.4,0.758248250407,1.06623710191
2011-05-14,0.558829896942,0.558829896942,0.058829896942,42.4,0.69347786211,0.974385354107
2011-05-15,3.84090301804,0.640150503007,0.840903018045,42.4,0.630869770863,1.02980283815
2011-05-16,0.280339344632,0.280339344632,-0.219660655368,42.1,0.565766843162,0.678302391545
2011-05-17,0.822288123455,0.411144061727,-0.177711876545,42.1,0.504629742674,0.721388311849
2011-05-18,1.5594751896,0.5198250632,0.0594751896,42.1,0.482057773902,0.823582242099
2011-05-21,1.0266844669,0.513342233452,0.026684466904,42.1,0.472960241204,0.836665719654
2011-05-22,2.25566957018,0.751889856725,0.755669570176,42.1,0.495308111947,1.07965080045
2011-05-23,7.29144063562,0.729144063562,2.29144063562,42.1,0.585069055733,1.11799825451
2011-05-24,3.33601142383,0.834002855958,1.33601142383,42.1,0.669640814579,1.24403781642
2011-05-25,0.561639048718,0.561639048718,0.061639048718,42.1,0.678003611683,1.01020337732
2011-05-27,1.70566537061,0.568555123536,0.205665370607,42.1,0.6890461897,0.968566054277
2011-05-28,2.96097509323,0.592195018646,0.46097509323,42.1,0.657107222084,0.975653974182
2011-05-29,1.75846008618,0.879230043089,0.758460086178,42.1,0.687124417989,1.26048137154
2011-05-30,0.775789121436,0.775789121436,0.275789121436,42.1,0.675481671085,1.22686104182
2011-06-01,0.954605857606,0.954605857606,0.454605857606,42.1,0.754075032863,1.41037439666
2011-06-02,3.17588784158,0.793971960396,1.17588784158,41.6,0.799158400235,1.29998611698
