date,pos_sum,pos_mean,net_pos_sums,polls,running_pos_avg
2011-02-01,8.99695900779,0.449847950389,-1.00304099221,47.5,-1.00304099221
2011-02-02,2.36744005193,0.263048894659,-2.13255994807,47.5,-1.56780047014
2011-02-03,5.66111775515,0.471759812929,-0.338882244848,47.5,-1.15816106171
2011-02-04,8.16187899712,0.741988999738,2.66187899712,47.5,-0.203151047001
2011-02-05,2.68760363059,0.447933938432,-0.312396369408,47.5,-0.225000111482
2011-02-06,6.68096532263,0.477211808759,-0.319034677374,47.5,-0.0881988485148
2011-02-07,2.65275672628,0.331594590785,-1.34724327372,46.4,0.0688644863551
2011-02-08,5.57096646527,0.506451496842,0.070966465266,46.4,0.150834228378
2011-02-09,6.66781096623,0.512908535864,0.167810966227,46.7,-0.347979377801
2011-02-10,2.76440210178,0.345550262722,-1.23559789822,46.7,-0.532619683564
2011-02-11,5.37313195531,0.447760996276,-0.626868044693,47.3,-0.594186357028
2011-02-12,2.76091978092,0.690229945229,0.760919780916,47.3,-0.172553746101
2011-02-13,4.38489246117,0.438489246117,-0.615107538832,47.3,-0.309768546921
2011-02-14,4.70338120607,0.361798554313,-1.79661879393,47.3,-0.702654498952
2011-02-15,6.32715933451,0.234339234611,-7.17284066549,47.3,-1.89010305241
2011-02-16,2.67351389655,0.243046717868,-2.82648610345,47.0,-2.33002666416
2011-02-17,1.53540078475,0.21934296925,-1.96459921525,47.0,-2.87513046339
2011-02-18,4.3378961833,0.43378961833,-0.662103816697,47.0,-2.88452971896
2011-02-19,4.87299127177,0.541443474641,0.372991271771,47.0,-2.45060770582
2011-02-20,2.08303327908,0.694344426359,0.583033279077,47.0,-0.899432916909
2011-02-21,1.03360141882,0.258400354705,-0.96639858118,47.0,-0.527415412456
2011-02-22,1.76608191535,0.441520478836,-0.233918084654,47.0,-0.181279186337
2011-02-23,3.10407847844,0.517346413073,0.104078478438,47.3,-0.0280427273096
2011-02-24,6.10616361285,0.508846967738,0.106163612853,47.3,-0.0814082590932
2011-02-25,5.12853317581,0.394502551985,-1.37146682419,47.3,-0.472308279747
2011-02-26,6.85219589731,0.856524487164,2.85219589731,47.3,0.291410615951
2011-02-27,4.37703314071,0.547129142589,0.377033140713,47.3,0.413600861025
2011-02-28,0.113626746105,0.0378755820351,-1.38637325389,47.3,0.115510514558
2011-03-01,3.6476958536,0.4559619817,-0.3523041464,47.3,0.0238169627074
2011-03-02,4.08801334673,0.511001668341,0.0880133467297,47.6,0.315712996892
2011-03-03,4.98863243154,0.415719369295,-1.01136756846,47.6,-0.456999696263
2011-03-04,4.85349417583,0.404457847986,-1.14650582417,47.6,-0.761707489239
2011-03-05,3.11494906118,0.444992723026,-0.385050938818,47.6,-0.561443026224
2011-03-06,3.08633935988,0.617267871977,0.586339359884,47.6,-0.373714324967
2011-03-07,6.08736199814,0.760920249767,2.08736199814,47.6,0.0261554053142
2011-03-08,2.68607016305,0.244188196641,-2.81392983695,47.6,-0.334357048384
2011-03-09,2.29910234411,0.459820468823,-0.200897655887,47.6,-0.145235414728
2011-03-10,5.30552310755,0.757931872507,1.80552310755,47.6,0.292879394545
2011-03-11,1.05456731759,0.210913463518,-1.44543268241,47.6,-0.113475013914
2011-03-12,4.25364705927,0.850729411853,1.75364705927,47.6,-0.180218001688
2011-03-13,2.37303403885,0.791011346284,0.873034038851,47.6,0.557174773473
2011-03-14,3.6286591713,0.604776528551,0.628659171305,47.6,0.723086138912
2011-03-15,0.961839063001,0.137405580429,-2.538160937,47.6,-0.145650669997
2011-03-16,3.33187653519,0.832969133797,1.33187653519,47.7,0.409811173522
2011-03-17,7.75131543819,0.645942953182,1.75131543819,47.7,0.409344849307
2011-03-18,6.17590689684,0.51465890807,0.175906896841,47.7,0.269919420905
2011-03-19,7.14174858761,0.649249871601,1.64174858761,47.7,0.472537304166
2011-03-20,5.40030357534,0.385735969667,-1.59969642466,47.7,0.660230206634
2011-03-21,3.52585602593,0.440732003241,-0.474143974072,47.7,0.299026104782
2011-03-22,5.48694074732,0.609660083035,0.986940747319,47.7,0.146151166608
2011-03-23,3.02815213182,0.50469202197,0.0281521318227,47.7,0.116600213604
2011-03-24,5.07513611298,0.390395085614,-1.42486388702,47.7,-0.496722281322
2011-03-25,3.14215989865,0.392769987331,-0.857840101353,47.7,-0.348351016661
2011-03-26,0.00884814154406,0.00442407077203,-0.991151858456,47.7,-0.451752593537
2011-03-27,9.12296461845,0.60819764123,1.62296461845,47.7,-0.324547819311
2011-03-28,5.26727314036,0.585252571151,0.767273140361,47.7,-0.176723617603
2011-03-29,3.72616083635,0.338741894214,-1.77383916365,47.7,-0.246518672929
2011-03-30,5.31640705622,0.759486722317,1.81640705622,47.7,0.288330758586
2011-03-31,7.94396197462,0.794396197462,2.94396197462,47.3,1.0753535252
2011-04-01,3.84767317041,0.384767317041,-1.15232682959,47.3,0.520295235593
2011-04-02,2.85046891056,0.35630861382,-1.14953108944,47.3,0.136934389634
2011-04-03,3.37689582686,0.422111978358,-0.623104173136,47.3,0.367081387736
2011-04-04,3.23175730089,0.248596715453,-3.26824269911,47.3,-0.649848563329
2011-04-05,6.33808597145,0.27556895528,-5.16191402855,47.3,-2.27102376396
2011-04-06,3.16498704369,0.243460541822,-3.33501295631,47.3,-2.70756098931
2011-04-07,10.0173213616,0.556517853422,1.0173213616,47.3,-2.2741904991
2011-04-08,6.46173558046,0.497056583113,-0.0382644195363,47.3,-2.15722254838
2011-04-09,1.79590502935,0.448976257337,-0.204094970651,47.3,-1.54439300269
