,author,date,section,word_count,abstract,headline,source
19,"RANDOM, RODERICK","Oct 13, 2012",Opinion,828,"""The economy was in free fall,"" Mr. Biden said of when he and Mr. [Barack Obama] took office. ""We had - the Great Recession hit. Nine million people lost their job, 1.7 - $1.6 trillion in wealth lost in equity in your homes, in retirement accounts from the middle class. We knew we had to act for the middle class. We immediately went out and rescued General Motors. We went ahead and made sure that we cut taxes for the middle class. ... And when that occurred, what did Romney do? Romney said, no, let Detroit go bankrupt. We moved in and helped people refinance their homes. Gov. Romney said, no, let foreclosures hit the bottom. But it shouldn't be surprising for a guy who says 47 percent of the American people are unwilling to take responsibility for their own lives. ... My friend (Mr. Ryan) recently ... said 30 percent of the American people are takers. These people are my mom and dad, the people I grew up with, my neighbors. ... They are elderly people who in fact are living off of Social Security. They are veterans and people fighting in Afghanistan right now who are, quote, not paying any taxes.""","Scranton Up, Janesville Down; Causes Elusive",The Times - Tribune
20,,"Jan 30, 2012",Opinion,593,Can someone please explain to me why the county has no funds so we have to get rid of the assistant district attorney? But I just read in the paper that we now have money to pay Sacavage's daughter in his own probation office. Why don't we use that money to keep the assistant DA?,Sound Off 01-31-12,The News - Item
21,"Krawczeniuk, Borys","Apr 7, 2012",News,1151,"""A congressman doesn't create jobs; a congressman creates an environment that makes jobs possible,"" he said. ""In my opinion, the most important way to create jobs in this country is to do what's right for the United States, which is to build up our infrastructure. We're falling behind. We need to build up our roads, our bridges. The bridges in Pennsylvania are a disgrace and a lot of them are dangerous.""",Democratic Candidates Vary On Jobs Solutions,Citizens' Voice
22,"Leskin, Thomas","Feb 03, 2011",News,373,"As part of this initiative to jumpstart energy efficient buildings, Obama introduced the Great Philadelphia Innovation Cluster for Energy Efficient Buildings, also known as the Philadelphia Energy Innovation Hub, a vision to improve building energy efficiency in the U.S. by 50 to 80 percent.",Energy-efficient Buildings Wave Of The Future,The News - Item
23,Anonymous,"Sep 8, 2011",News,168,"- A payroll tax ""holiday"" for employers on any new hires or wages. All companies would be eligible for the break, which would apply to up to $50 million in new payroll spending.",Highlights Of President Barack Obama's Jobs Package,The Times - Tribune
24,Anonymous,"Jun 11, 2011",Opinion,863,"On the second day, 10-year-old Piper Palin had sarcastically told a photographer, ""Thanks for ruining our vacation."" Of course, it wasn't the media who ""ruined"" what Piper thought was a family vacation. Palin's own website claimed the purpose of the tour was ""part of our new campaign to educate and energize Americans about our nation's founding principles, in order to promote the Fundamental Restoration of America."" To ""promote"" that education campaign, Piper's mother commissioned a luxury bus and wrapped it in a professionally created design, complete with a [Sarah Palin] signature larger than anything John Hancock could have written. Since Mother Sarah always emerged from the bus wearing ready-for-prime-time campaign makeup and conservative ""glad-to-meet-ya-but-I'm-not-really-running"" conservative suits, it was questionable just whose vacation it was.",New Hampshire Or Bus: Palin's No-campaign Campaign Tour,The News - Item
25,Anonymous,"Apr 10, 2011",Opinion,1082,"Mr. [Sam Smith] might rebut that a large, geographically and demographically diverse state like ours needs a full-time legislature. I would counsel him to study Texas. It is four times Pennsylvania's size geographically and twice its size demographically, and yet somehow its part-time legislature runs the affairs of the Lone Star State as well as - if not better than - the General Assembly manages the Keystone State's.",Letters To The Editor - 4/11/2011,The Times - Tribune
26,"Kashuba, Cheryl A","Mar 02, 2011",News,1998,"In 2002, Sinn Fein President Gerry Adams brought Ireland once again to Scranton when he addressed a group of Irish-Americans on Saturday, March 9. He spoke at the Banshee on Penn Avenue, just hours after the annual St. Patrick's parade had ended. His message was simple: Keep the troubles of Northern Ireland in the public eye so that peace can be reached. Six years earlier, James Doherty Jr., president of the Friendly Sons of St. Patrick of Lackawanna County, had invited Mr. Adams to speak at the group's annual dinner. ""We are going to achieve freedom,"" Mr. Adams said, ""and you will have helped to bring it about.""",Annual St. Patrick's Parade Enjoys Long History In City,The Times - Tribune
27,"Dino, Jim","Jan 31, 2011",News,611,"""We need to do more than just freeze spending. We need to cut spending,"" [Lou Barletta] said. ""A good place to start is by scaling back our discretionary spending to 2008 levels, a plan which I was happy to support just last week. The price of the deficit has tripled in 10 years.""",Barletta: There's Work To Be Done In Washington,Standard - Speaker
28,"Heaney, Caitlin","Mar 03, 2011",News,420,"His wife, Jeannine, has remained in Japan while Gen. Wiercinski awaited a decision from the Army chief of staff about what his next assignment would be. President Barack Obama nominated Gen. Wiercinski for the promotion Jan. 26.",Dickson City Native Earns Third Star In Army Career,The Times - Tribune
29,"Krawczeniuk, Borys","Sep 9, 2011",News,727,"""I've seen them take weeks, I've seen them take days, I've seen them take hours,"" [Nicholas Morici] said. ""We're asking people to be patient.""",Flood Insurance Shows Its Benefits,Citizens' Voice
30,"Krawczeniuk, Borys","Jan 05, 2011",News,844,"""When I was getting dressed today, I was putting my tie on, I told (his wife) Mary Grace, I said, 'I just cannot imagine how proud my mother and father would be today if they were here watching this.' That's one regret that I have that they're not here with me ... I'm sure they'll come to memory when I'm standing on the floor (getting sworn in).""",Marino Remembers Late Father During Ceremony,The News - Item
31,,"Nov 6, 2012",Opinion,181,"[Obama] is all over our televisions, making hollow promises trying to get re-elected while telling the storm victims that the country is pulling for them. Here's a thought for Obama: Do something besides talk. Maybe sail an aircraft carrier or two up the Hudson and East rivers.",Obama Does Little For Storm Victims,Republican & Herald
32,"Sisak, Michael R","Jul 30, 2011",News,754,"""We're arguing about a very, very, very big principle right now,"" Kanjorski said. ""I wish we could be sane enough not to structure it on the debt limit or something as silly as that.""",Kanjorski Can Only Stand By And Watch,The News - Item
33,Anonymous,"Jan 25, 2011",Opinion,387,"Recently we read about the terrible tragedy that took place in Arizona. President Obama, a radical supporter of abortion, called on all Americans to be civil which in turn would hopefully lead to stability in our nation. But neither he, nor anyone else who covered this tragic event ever mentioned the most important link between civility and stability, and that is ""morality.""",Where Is Civility In A Nation That Allows Abortion?,Standard - Speaker
34,"Whalen, Jill","Jun 16, 2012",News,599,"Under Romney's governorship, O'Gurek Jr. said Massachusetts fell to 47th out of 50 states in job growth, its debt grew by 16 percent and government jobs grew six times faster than private-sector jobs. Romney vetoed a bill to raise the state's minimum wage and signed one to cut taxes to the wealthy, O'Gurek said.",Carbon County Dems Attack Record,Citizens' Voice
